year,New open,census_track,is_cbd,post_covid,DID,open_ln,census
2004,11,227,0,0,0,2.3978952727983707,22700
2017,8,227,0,0,0,2.0794415416798357,22700
2015,6,227,0,0,0,1.791759469228055,22700
2005,5,227,0,0,0,1.6094379124341003,22700
2007,5,227,0,0,0,1.6094379124341003,22700
2008,5,227,0,0,0,1.6094379124341003,22700
2014,5,227,0,0,0,1.6094379124341003,22700
2011,4,227,0,0,0,1.3862943611198906,22700
2001,3,227,0,0,0,1.0986122886681098,22700
2006,3,227,0,0,0,1.0986122886681098,22700
2009,3,227,0,0,0,1.0986122886681098,22700
2013,3,227,0,0,0,1.0986122886681098,22700
2016,3,227,0,0,0,1.0986122886681098,22700
2018,2,227,0,0,0,0.6931471805599453,22700
2003,2,227,0,0,0,0.6931471805599453,22700
2012,2,227,0,0,0,0.6931471805599453,22700
2010,1,227,0,0,0,0.0,22700
2019,1,227,0,0,0,0.0,22700
2004,20,25,1,0,0,2.995732273553991,2500
2005,10,25,1,0,0,2.302585092994046,2500
2018,6,25,1,0,0,1.791759469228055,2500
2011,4,25,1,0,0,1.3862943611198906,2500
2002,4,25,1,0,0,1.3862943611198906,2500
2007,4,25,1,0,0,1.3862943611198906,2500
2012,4,25,1,0,0,1.3862943611198906,2500
2001,3,25,1,0,0,1.0986122886681098,2500
2010,3,25,1,0,0,1.0986122886681098,2500
2013,3,25,1,0,0,1.0986122886681098,2500
2019,3,25,1,0,0,1.0986122886681098,2500
2016,3,25,1,0,0,1.0986122886681098,2500
2021,2,25,1,1,1,0.6931471805599453,2500
2009,2,25,1,0,0,0.6931471805599453,2500
2003,1,25,1,0,0,0.0,2500
2017,1,25,1,0,0,0.0,2500
2014,1,25,1,0,0,0.0,2500
2008,1,25,1,0,0,0.0,2500
2022,1,25,1,1,1,0.0,2500
2004,22,205,0,0,0,3.091042453358316,20500
2017,8,205,0,0,0,2.0794415416798357,20500
2006,8,205,0,0,0,2.0794415416798357,20500
2016,6,205,0,0,0,1.791759469228055,20500
2014,6,205,0,0,0,1.791759469228055,20500
2015,5,205,0,0,0,1.6094379124341003,20500
2010,5,205,0,0,0,1.6094379124341003,20500
2011,4,205,0,0,0,1.3862943611198906,20500
2002,4,205,0,0,0,1.3862943611198906,20500
2005,4,205,0,0,0,1.3862943611198906,20500
2021,3,205,0,1,0,1.0986122886681098,20500
2013,3,205,0,0,0,1.0986122886681098,20500
2019,2,205,0,0,0,0.6931471805599453,20500
1996,2,205,0,0,0,0.6931471805599453,20500
2007,2,205,0,0,0,0.6931471805599453,20500
2003,2,205,0,0,0,0.6931471805599453,20500
2000,2,205,0,0,0,0.6931471805599453,20500
2008,2,205,0,0,0,0.6931471805599453,20500
2012,1,205,0,0,0,0.0,20500
2001,1,205,0,0,0,0.0,20500
1999,1,205,0,0,0,0.0,20500
1997,1,205,0,0,0,0.0,20500
2004,30,288,0,0,0,3.4011973816621555,28800
2005,20,288,0,0,0,2.995732273553991,28800
2016,9,288,0,0,0,2.1972245773362196,28800
2012,7,288,0,0,0,1.9459101490553132,28800
2011,7,288,0,0,0,1.9459101490553132,28800
2006,7,288,0,0,0,1.9459101490553132,28800
2014,6,288,0,0,0,1.791759469228055,28800
2009,5,288,0,0,0,1.6094379124341003,28800
2015,5,288,0,0,0,1.6094379124341003,28800
2013,5,288,0,0,0,1.6094379124341003,28800
2007,5,288,0,0,0,1.6094379124341003,28800
2008,5,288,0,0,0,1.6094379124341003,28800
2021,4,288,0,1,0,1.3862943611198906,28800
2010,3,288,0,0,0,1.0986122886681098,28800
2003,3,288,0,0,0,1.0986122886681098,28800
2018,3,288,0,0,0,1.0986122886681098,28800
2019,3,288,0,0,0,1.0986122886681098,28800
2000,3,288,0,0,0,1.0986122886681098,28800
2002,2,288,0,0,0,0.6931471805599453,28800
2020,2,288,0,1,0,0.6931471805599453,28800
1999,1,288,0,0,0,0.0,28800
1998,1,288,0,0,0,0.0,28800
1997,1,288,0,0,0,0.0,28800
2001,1,288,0,0,0,0.0,28800
2004,17,275,0,0,0,2.833213344056216,27500
2005,6,275,0,0,0,1.791759469228055,27500
2018,5,275,0,0,0,1.6094379124341003,27500
2000,4,275,0,0,0,1.3862943611198906,27500
2003,4,275,0,0,0,1.3862943611198906,27500
2015,3,275,0,0,0,1.0986122886681098,27500
2017,3,275,0,0,0,1.0986122886681098,27500
2010,3,275,0,0,0,1.0986122886681098,27500
2007,2,275,0,0,0,0.6931471805599453,27500
2008,2,275,0,0,0,0.6931471805599453,27500
2009,2,275,0,0,0,0.6931471805599453,27500
2011,2,275,0,0,0,0.6931471805599453,27500
2012,2,275,0,0,0,0.6931471805599453,27500
2013,2,275,0,0,0,0.6931471805599453,27500
2006,2,275,0,0,0,0.6931471805599453,27500
2016,2,275,0,0,0,0.6931471805599453,27500
2001,2,275,0,0,0,0.6931471805599453,27500
2002,1,275,0,0,0,0.0,27500
1998,1,275,0,0,0,0.0,27500
2019,1,275,0,0,0,0.0,27500
2020,1,275,0,1,0,0.0,27500
2021,1,275,0,1,0,0.0,27500
2022,1,275,0,1,0,0.0,27500
2004,37,367,1,0,0,3.6109179126442243,36700
2012,14,367,1,0,0,2.6390573296152584,36700
2015,13,367,1,0,0,2.5649493574615367,36700
2005,12,367,1,0,0,2.4849066497880004,36700
2019,11,367,1,0,0,2.3978952727983707,36700
2018,11,367,1,0,0,2.3978952727983707,36700
2011,10,367,1,0,0,2.302585092994046,36700
2014,9,367,1,0,0,2.1972245773362196,36700
2013,9,367,1,0,0,2.1972245773362196,36700
2006,8,367,1,0,0,2.0794415416798357,36700
2007,8,367,1,0,0,2.0794415416798357,36700
2021,7,367,1,1,1,1.9459101490553132,36700
2017,7,367,1,0,0,1.9459101490553132,36700
2010,6,367,1,0,0,1.791759469228055,36700
2009,6,367,1,0,0,1.791759469228055,36700
2016,5,367,1,0,0,1.6094379124341003,36700
2002,4,367,1,0,0,1.3862943611198906,36700
2003,4,367,1,0,0,1.3862943611198906,36700
2008,2,367,1,0,0,0.6931471805599453,36700
2020,2,367,1,1,1,0.6931471805599453,36700
1998,1,367,1,0,0,0.0,36700
1999,1,367,1,0,0,0.0,36700
2001,1,367,1,0,0,0.0,36700
2000,1,367,1,0,0,0.0,36700
1996,1,367,1,0,0,0.0,36700
2022,1,367,1,1,1,0.0,36700
2004,8,215,0,0,0,2.0794415416798357,21500
2002,3,215,0,0,0,1.0986122886681098,21500
2003,2,215,0,0,0,0.6931471805599453,21500
2005,2,215,0,0,0,0.6931471805599453,21500
2008,2,215,0,0,0,0.6931471805599453,21500
2000,1,215,0,0,0,0.0,21500
2001,1,215,0,0,0,0.0,21500
2009,1,215,0,0,0,0.0,21500
2010,1,215,0,0,0,0.0,21500
2012,1,215,0,0,0,0.0,21500
2013,1,215,0,0,0,0.0,21500
2015,1,215,0,0,0,0.0,21500
2018,1,215,0,0,0,0.0,21500
2017,1,215,0,0,0,0.0,21500
2019,1,215,0,0,0,0.0,21500
2004,43,178,0,0,0,3.7612001156935624,17800
2005,18,178,0,0,0,2.8903717578961645,17800
2006,13,178,0,0,0,2.5649493574615367,17800
2002,13,178,0,0,0,2.5649493574615367,17800
2003,12,178,0,0,0,2.4849066497880004,17800
2011,11,178,0,0,0,2.3978952727983707,17800
2020,10,178,0,1,0,2.302585092994046,17800
2016,10,178,0,0,0,2.302585092994046,17800
2008,10,178,0,0,0,2.302585092994046,17800
2019,9,178,0,0,0,2.1972245773362196,17800
2017,9,178,0,0,0,2.1972245773362196,17800
2001,8,178,0,0,0,2.0794415416798357,17800
2012,7,178,0,0,0,1.9459101490553132,17800
2007,6,178,0,0,0,1.791759469228055,17800
2014,6,178,0,0,0,1.791759469228055,17800
2018,5,178,0,0,0,1.6094379124341003,17800
2013,5,178,0,0,0,1.6094379124341003,17800
2010,4,178,0,0,0,1.3862943611198906,17800
2015,4,178,0,0,0,1.3862943611198906,17800
2009,4,178,0,0,0,1.3862943611198906,17800
2022,4,178,0,1,0,1.3862943611198906,17800
2000,3,178,0,0,0,1.0986122886681098,17800
1999,3,178,0,0,0,1.0986122886681098,17800
2021,3,178,0,1,0,1.0986122886681098,17800
1996,1,178,0,0,0,0.0,17800
2004,6,314.02,0,0,0,1.791759469228055,31402
2008,2,314.02,0,0,0,0.6931471805599453,31402
2010,2,314.02,0,0,0,0.6931471805599453,31402
2021,2,314.02,0,1,0,0.6931471805599453,31402
1997,1,314.02,0,0,0,0.0,31402
2002,1,314.02,0,0,0,0.0,31402
1998,1,314.02,0,0,0,0.0,31402
2003,1,314.02,0,0,0,0.0,31402
2005,1,314.02,0,0,0,0.0,31402
2006,1,314.02,0,0,0,0.0,31402
2007,1,314.02,0,0,0,0.0,31402
2014,1,314.02,0,0,0,0.0,31402
2015,1,314.02,0,0,0,0.0,31402
2016,1,314.02,0,0,0,0.0,31402
2017,1,314.02,0,0,0,0.0,31402
2004,24,27.02,0,0,0,3.1780538303479458,2702
