year,Close-down,census_track,is_cbd,post_covid,DID,close_ln,census
2012,13,227,0,0,0,2.5649493574615367,22700
2008,4,227,0,0,0,1.3862943611198906,22700
2016,4,227,0,0,0,1.3862943611198906,22700
2018,3,227,0,0,0,1.0986122886681098,22700
2014,2,227,0,0,0,0.6931471805599453,22700
2017,2,227,0,0,0,0.6931471805599453,22700
2021,2,227,0,1,0,0.6931471805599453,22700
2019,2,227,0,0,0,0.6931471805599453,22700
2011,1,227,0,0,0,0.0,22700
2007,1,227,0,0,0,0.0,22700
2009,1,227,0,0,0,0.0,22700
2015,1,227,0,0,0,0.0,22700
2020,1,227,0,1,0,0.0,22700
2012,15,25,1,0,0,2.70805020110221,2500
2020,7,25,1,1,1,1.9459101490553132,2500
2007,4,25,1,0,0,1.3862943611198906,2500
2017,3,25,1,0,0,1.0986122886681098,2500
2016,3,25,1,0,0,1.0986122886681098,2500
2010,2,25,1,0,0,0.6931471805599453,2500
2021,2,25,1,1,1,0.6931471805599453,2500
2019,2,25,1,0,0,0.6931471805599453,2500
2005,1,25,1,0,0,0.0,2500
2015,1,25,1,0,0,0.0,2500
2009,1,25,1,0,0,0.0,2500
2011,1,25,1,0,0,0.0,2500
2013,1,25,1,0,0,0.0,2500
2018,1,25,1,0,0,0.0,2500
2012,17,205,0,0,0,2.833213344056216,20500
2018,7,205,0,0,0,1.9459101490553132,20500
2015,4,205,0,0,0,1.3862943611198906,20500
2010,3,205,0,0,0,1.0986122886681098,20500
2011,2,205,0,0,0,0.6931471805599453,20500
2020,2,205,0,1,0,0.6931471805599453,20500
2006,2,205,0,0,0,0.6931471805599453,20500
2017,2,205,0,0,0,0.6931471805599453,20500
2016,2,205,0,0,0,0.6931471805599453,20500
2021,2,205,0,1,0,0.6931471805599453,20500
2014,1,205,0,0,0,0.0,20500
2013,1,205,0,0,0,0.0,20500
2008,1,205,0,0,0,0.0,20500
2007,1,205,0,0,0,0.0,20500
2022,1,205,0,1,0,0.0,20500
2012,36,288,0,0,0,3.58351893845611,28800
2018,6,288,0,0,0,1.791759469228055,28800
2020,6,288,0,1,0,1.791759469228055,28800
2015,5,288,0,0,0,1.6094379124341003,28800
2016,5,288,0,0,0,1.6094379124341003,28800
2022,4,288,0,1,0,1.3862943611198906,28800
2019,3,288,0,0,0,1.0986122886681098,28800
2011,3,288,0,0,0,1.0986122886681098,28800
2007,2,288,0,0,0,0.6931471805599453,28800
2014,2,288,0,0,0,0.6931471805599453,28800
2017,2,288,0,0,0,0.6931471805599453,28800
2013,2,288,0,0,0,0.6931471805599453,28800
2006,2,288,0,0,0,0.6931471805599453,28800
2021,2,288,0,1,0,0.6931471805599453,28800
2010,1,288,0,0,0,0.0,28800
2005,1,288,0,0,0,0.0,28800
2009,1,288,0,0,0,0.0,28800
2008,1,288,0,0,0,0.0,28800
2012,10,275,0,0,0,2.302585092994046,27500
2019,4,275,0,0,0,1.3862943611198906,27500
