tract,year,New open,count,is_cbd,post_covid,DID,open_ln,tr_x,population,yr,TRACTCE10,SHAPE_AREA,tr_y,pop,density,post covid * density,density_rank,density_group
100.0,2018,1,1.0,0,0,0,0.0,100.0,4166.0,2018.0,000100,7595557.09811,100.0,4.166,0.5484785310924231,0.0,0.6581359816653934,mid_density
100.0,2019,1,1.0,0,1,0,0.0,100.0,4118.0,2019.0,000100,7595557.09811,100.0,4.118,0.5421590472968311,0.5421590472968311,0.6652024446142093,mid_density
100.0,2020,1,1.0,0,1,0,0.0,100.0,4118.0,2020.0,000100,7595557.09811,100.0,4.118,0.5421590472968311,0.5421590472968311,0.6652024446142093,mid_density
101.0,2013,15,150.0,1,0,0,2.70805020110221,,,,,,,,,,,low_density
101.0,2014,24,150.0,1,0,0,3.1780538303479458,,,,,,,,,,,low_density
101.0,2015,49,150.0,1,0,0,3.8918202981106265,,,,,,,,,,,low_density
101.0,2016,20,150.0,1,0,0,2.995732273553991,,,,,,,,,,,low_density
101.0,2017,23,150.0,1,0,0,3.1354942159291497,,,,,,,,,,,low_density
101.0,2018,50,150.0,1,0,0,3.912023005428146,,,,,,,,,,,low_density
101.0,2019,21,150.0,1,1,1,3.044522437723423,,,,,,,,,,,low_density
101.0,2020,33,150.0,1,1,1,3.4965075614664802,101.0,1879.0,2020.0,,,,1.879,,,,low_density
101.0,2021,15,150.0,1,1,1,2.70805020110221,,,,,,,,,,,low_density
102.0,2013,3,19.0,1,0,0,1.0986122886681098,,,,,,,,,,,low_density
102.0,2014,2,19.0,1,0,0,0.6931471805599453,,,,,,,,,,,low_density
102.0,2015,5,19.0,1,0,0,1.6094379124341003,,,,,,,,,,,low_density
102.0,2016,2,19.0,1,0,0,0.6931471805599453,,,,,,,,,,,low_density
102.0,2017,3,19.0,1,0,0,1.0986122886681098,,,,,,,,,,,low_density
102.0,2018,8,19.0,1,0,0,2.0794415416798357,,,,,,,,,,,low_density
102.0,2019,4,19.0,1,1,1,1.3862943611198906,,,,,,,,,,,low_density
102.0,2020,5,19.0,1,1,1,1.6094379124341003,102.0,2988.0,2020.0,,,,2.988,,,,low_density
102.0,2021,2,19.0,1,1,1,0.6931471805599453,,,,,,,,,,,low_density
200.0,2013,18,141.0,1,0,0,2.8903717578961645,200.0,2215.0,2013.0,000200,4116628.18507,200.0,2.215,0.5380617098316679,0.0,0.6707410236822001,mid_density
