tract,year,Close-down,New open,is_cbd,post_covid,DID,ln(New open),ln(Close-down),census_track,tr_x,population,yr,TRACTCE10,SHAPE_AREA,tr_y,density,pop,area,post covid * density,inflows,density_rank,density_group,cbd
200,2012,7,15,1,0,0,2.70805020110221,1.9459101490553132,2.0,2.0,2009,2012,000200,4116628.18507,2.0,0.48802075623107033,0.2009,4.11662818507,0.0,8,0.6769461077844311,mid_density,CBD
200,2013,7,14,1,0,0,2.6390573296152584,1.9459101490553132,2.0,2.0,2215,2013,000200,4116628.18507,2.0,0.5380617098316679,0.2215,4.11662818507,0.0,7,0.6251497005988024,mid_density,CBD
200,2014,14,13,1,0,0,2.5649493574615367,2.6390573296152584,2.0,2.0,2285,2014,000200,4116628.18507,2.0,0.5550659173658515,0.2285,4.11662818507,0.0,-1,0.6080838323353294,mid_density,CBD
200,2015,9,16,1,0,0,2.772588722239781,2.1972245773362196,2.0,2.0,2331,2015,000200,4116628.18507,2.0,0.566240110888315,0.2331,4.11662818507,0.0,7,0.5976047904191617,mid_density,CBD
200,2016,14,18,1,0,0,2.8903717578961645,2.6390573296152584,2.0,2.0,2563,2016,000200,4116628.18507,2.0,0.6225969130016094,0.2563,4.11662818507,0.0,4,0.5383233532934132,mid_density,CBD
200,2017,18,14,1,0,0,2.6390573296152584,2.8903717578961645,2.0,2.0,2683,2017,000200,4116628.18507,2.0,0.65174698306021,0.2683,4.11662818507,0.0,-4,0.4997005988023952,low_density,CBD
200,2018,14,23,1,0,0,3.1354942159291497,2.6390573296152584,2.0,2.0,2576,2018,000200,4116628.18507,2.0,0.6257548372579578,0.2576,4.11662818507,0.0,9,0.5353293413173653,mid_density,CBD
200,2019,14,20,1,1,1,2.995732273553991,2.6390573296152584,2.0,2.0,2860,2019,000200,4116628.18507,2.0,0.6947433363966456,0.286,4.11662818507,0.6947433363966456,6,0.4453592814371258,low_density,CBD
200,2020,37,8,1,1,1,2.0794415416798357,3.6109179126442243,2.0,2.0,3175,2020,000200,4116628.18507,2.0,0.771262270300472,0.3175,4.11662818507,0.771262270300472,-29,0.37664670658682636,low_density,CBD
200,2021,23,17,1,1,1,2.833213344056216,3.1354942159291497,2.0,2.0,2860,2021,000200,4116628.18507,2.0,0.6947433363966456,0.286,4.11662818507,0.6947433363966456,-6,0.4453592814371258,low_density,CBD
300,2012,2,8,1,0,0,2.0794415416798357,0.6931471805599453,3.0,3.0,3509,2012,000300,5887110.24019,3.0,0.5960479516834648,0.3509,5.88711024019,0.0,6,0.567065868263473,mid_density,CBD
300,2013,5,6,1,0,0,1.791759469228055,1.6094379124341003,3.0,3.0,3398,2013,000300,5887110.24019,3.0,0.5771932002907989,0.3398,5.88711024019,0.0,1,0.5868263473053892,mid_density,CBD
300,2014,5,3,1,0,0,1.0986122886681098,1.6094379124341003,3.0,3.0,3438,2014,000300,5887110.24019,3.0,0.5839877052971649,0.3438,5.88711024019,0.0,-2,0.5802395209580838,mid_density,CBD
300,2015,4,8,1,0,0,2.0794415416798357,1.3862943611198906,3.0,3.0,3405,2015,000300,5887110.24019,3.0,0.578382238666913,0.3405,5.88711024019,0.0,4,0.5853293413173652,mid_density,CBD
300,2016,8,5,1,0,0,1.6094379124341003,2.0794415416798357,3.0,3.0,3530,2016,000300,5887110.24019,3.0,0.599615066811807,0.353,5.88711024019,0.0,-3,0.5631736526946107,mid_density,CBD
300,2017,7,5,1,0,0,1.6094379124341003,1.9459101490553132,3.0,3.0,3534,2017,000300,5887110.24019,3.0,0.6002945173124435,0.3534,5.88711024019,0.0,-2,0.5622754491017964,mid_density,CBD
300,2018,10,7,1,0,0,1.9459101490553132,2.302585092994046,3.0,3.0,3444,2018,000300,5887110.24019,3.0,0.5850068810481199,0.3444,5.88711024019,0.0,-3,0.578443113772455,mid_density,CBD
300,2019,4,5,1,1,1,1.6094379124341003,1.3862943611198906,3.0,3.0,3385,2019,000300,5887110.24019,3.0,0.57498498616373,0.3385,5.88711024019,0.57498498616373,1,0.5887724550898203,mid_density,CBD
300,2020,10,6,1,1,1,1.791759469228055,2.302585092994046,3.0,3.0,3586,2020,000300,5887110.24019,3.0,0.6091273738207195,0.3586,5.88711024019,0.6091273738207195,-4,0.5523952095808383,mid_density,CBD
300,2021,12,3,1,1,1,1.0986122886681098,2.4849066497880004,3.0,3.0,3385,2021,000300,5887110.24019,3.0,0.57498498616373,0.3385,5.88711024019,0.57498498616373,-9,0.5887724550898203,mid_density,CBD
401,2012,3,7,1,0,0,1.9459101490553132,1.0986122886681098,4.01,4.01,2287,2012,000401,2513118.53678,4.01,0.9100247228808711,0.2287,2.5131185367800004,0.0,4,0.26077844311377246,low_density,CBD
401,2013,2,8,1,0,0,2.0794415416798357,0.6931471805599453,4.01,4.01,2458,2013,000401,2513118.53678,4.01,0.9780676733017846,0.2458,2.5131185367800004,0.0,6,0.20748502994011975,low_density,CBD
401,2014,4,5,1,0,0,1.6094379124341003,1.3862943611198906,4.01,4.01,2566,2014,000401,2513118.53678,4.01,1.0210421683044666,0.2566,2.5131185367800004,0.0,1,0.18053892215568862,low_density,CBD
401,2015,5,8,1,0,0,2.0794415416798357,1.6094379124341003,4.01,4.01,2836,2015,000401,2513118.53678,4.01,1.128478405811172,0.2836,2.5131185367800004,0.0,3,0.12874251497005987,low_density,CBD
401,2016,5,4,1,0,0,1.3862943611198906,1.6094379124341003,4.01,4.01,2666,2016,000401,2513118.53678,4.01,1.0608333673810242,0.2666,2.5131185367800004,0.0,-1,0.16197604790419162,low_density,CBD
401,2017,3,4,1,0,0,1.3862943611198906,1.0986122886681098,4.01,4.01,2632,2017,000401,2513118.53678,4.01,1.0473043596949947,0.2632,2.5131185367800004,0.0,1,0.16676646706586826,low_density,CBD
401,2018,3,10,1,0,0,2.302585092994046,1.0986122886681098,4.01,4.01,2591,2018,000401,2513118.53678,4.01,1.030989968073606,0.2591,2.5131185367800004,0.0,7,0.1751497005988024,low_density,CBD
401,2019,7,2,1,1,1,0.6931471805599453,1.9459101490553132,4.01,4.01,2516,2019,000401,2513118.53678,4.01,1.001146568766188,0.2516,2.5131185367800004,1.001146568766188,-5,0.19446107784431138,low_density,CBD
401,2020,10,3,1,1,1,1.0986122886681098,2.302585092994046,4.01,4.01,2577,2020,000401,2513118.53678,4.01,1.025419200202888,0.2577,2.5131185367800004,1.025419200202888,-7,0.1781437125748503,low_density,CBD
401,2021,9,3,1,1,1,1.0986122886681098,2.1972245773362196,4.01,4.01,2516,2021,000401,2513118.53678,4.01,1.001146568766188,0.2516,2.5131185367800004,1.001146568766188,-6,0.19446107784431138,low_density,CBD
500,2012,9,20,1,0,0,2.995732273553991,2.1972245773362196,5.0,5.0,2194,2012,000500,4615443.89842,5.0,0.4753605608229946,0.2194,4.615443898420001,0.0,11,0.6865269461077844,mid_density,CBD
500,2013,8,18,1,0,0,2.8903717578961645,2.0794415416798357,5.0,5.0,2267,2013,000500,4615443.89842,5.0,0.491177024332602,0.2267,4.615443898420001,0.0,10,0.6736526946107785,mid_density,CBD
500,2014,13,21,1,0,0,3.044522437723423,2.5649493574615367,5.0,5.0,2388,2014,000500,4615443.89842,5.0,0.5173933542594855,0.2388,4.615443898420001,0.0,8,0.6485029940119761,mid_density,CBD
500,2015,15,16,1,0,0,2.772588722239781,2.70805020110221,5.0,5.0,2316,2015,000500,4615443.89842,5.0,0.5017935546335713,0.2316,4.615443898420001,0.0,1,0.6634730538922156,mid_density,CBD
500,2016,20,15,1,0,0,2.70805020110221,2.995732273553991,5.0,5.0,2451,2016,000500,4615443.89842,5.0,0.5310431789321604,0.2451,4.615443898420001,0.0,-5,0.6332335329341318,mid_density,CBD
500,2017,10,22,1,0,0,3.091042453358316,2.302585092994046,5.0,5.0,2514,2017,000500,4615443.89842,5.0,0.5446930036048352,0.2514,4.615443898420001,0.0,12,0.6203592814371257,mid_density,CBD
500,2018,27,13,1,0,0,2.5649493574615367,3.295836866004329,5.0,5.0,2471,2018,000500,4615443.89842,5.0,0.5353764566060254,0.2471,4.615443898420001,0.0,-14,0.6281437125748504,mid_density,CBD
500,2019,19,20,1,1,1,2.995732273553991,2.9444389791664403,5.0,5.0,2543,2019,000500,4615443.89842,5.0,0.5509762562319395,0.2543,4.615443898420001,0.5509762562319395,1,0.6124251497005988,mid_density,CBD
500,2020,29,13,1,1,1,2.5649493574615367,3.367295829986474,5.0,5.0,2826,2020,000500,4615443.89842,5.0,0.6122921353171298,0.2826,4.615443898420001,0.6122921353171298,-16,0.55,mid_density,CBD
500,2021,34,20,1,1,1,2.995732273553991,3.5263605246161616,5.0,5.0,2543,2021,000500,4615443.89842,5.0,0.5509762562319395,0.2543,4.615443898420001,0.5509762562319395,-14,0.6124251497005988,mid_density,CBD
600,2012,7,16,1,0,0,2.772588722239781,1.9459101490553132,6.0,6.0,1565,2012,000600,1858607.39949,6.0,0.8420282844184492,0.1565,1.85860739949,0.0,9,0.3155688622754491,low_density,CBD
600,2013,7,17,1,0,0,2.833213344056216,1.9459101490553132,6.0,6.0,1534,2013,000600,1858607.39949,6.0,0.8253491299028122,0.1534,1.85860739949,0.0,10,0.33053892215568864,low_density,CBD
