geoid,state,county,tract,block,lat,lng
421010002001009,42,101,000200,1009,39.9555052,-75.1555641
421010001023002,42,101,000102,3002,39.953949,-75.1432262
421010015002008,42,101,001500,2008,39.943223,-75.162568
421010018001005,42,101,001800,1005,39.9398245705,-75.1574465632
421010210004025,42,101,021000,4025,40.0224662,-75.218314
421010142023004,42,101,014202,3004,39.9625821,-75.1356571
421010033004003,42,101,003300,4003,39.9404026,-75.1932966
421010369023003,42,101,036902,3003,39.954573,-75.1948936
421010337011008,42,101,033701,1008,40.0723302045,-75.0484833435
421010041032001,42,101,004103,2001,39.9198090864,-75.157802746
421010137024007,42,101,013702,4007,39.9748805,-75.1832618
421010125024004,42,101,012502,4004,39.963077709,-75.1680274529
421010001014006,42,101,000101,4006,39.9490268625,-75.1471895999
421010363031000,42,101,036303,1000,40.1064092,-74.9739371
421010015001002,42,101,001500,1002,39.942515,-75.156468
421010009022007,42,101,000902,2007,39.9470334,-75.1574339
421010103001005,42,101,010300,1005,39.9690954,-75.2255953
421010003002002,42,101,000300,2002,39.9565280024,-75.178013742
421019893002000,42,101,989300,2000,40.012141,-75.1150148
421010158002004,42,101,015800,2004,39.9764555,-75.1270254
421010111001001,42,101,011100,1001,39.9791075,-75.2177555
421010017002000,42,101,001700,2000,39.9385518,-75.1496356
421010006002009,42,101,000600,2009,39.9489024,-75.153854
421010359001000,42,101,035900,1000,40.1197128,-75.0097103
421010088023002,42,101,008802,3002,39.9516153765,-75.2033457223
421010384001020,42,101,038400,1020,40.0612774187,-75.2372046062
421010367003029,42,101,036700,3029,39.9603427,-75.141951
421010378008012,42,101,037800,8012,39.9768798,-75.1161695
421010085002002,42,101,008500,2002,39.9563959,-75.2253784
421010016001000,42,101,001600,1000,39.9412993,-75.1477446
421010007013009,42,101,000701,3009,39.9497345,-75.165436
421010257002007,42,101,025700,2007,40.0695589,-75.1995308
421010359001000,42,101,035900,1000,40.1197128,-75.0097103
421019809012007,42,101,980901,2007,39.8911246892,-75.2342512699
421010125023003,42,101,012502,3003,39.963042,-75.1741858944
421010028022009,42,101,002802,2009,39.92745,-75.1660349
421010002001011,42,101,000200,1011,39.955126798,-75.1574422458
421010008062001,42,101,000806,2001,39.949452,-75.1670279
421010355002002,42,101,035500,2002,40.0870701,-75.0353514
421010345022000,42,101,034502,2000,40.0839955,-75.0354963
421010018001021,42,101,001800,1021,39.9389483,-75.1564078
421010039014009,42,101,003901,4009,39.9254629,-75.173622
421010015002021,42,101,001500,2021,39.9426271,-75.1650829
421010022001000,42,101,002200,1000,39.9368911,-75.1672837
421010007011004,42,101,000701,1004,39.9506555,-75.1708991
421010144004008,42,101,014400,4008,39.9736806,-75.1396479
421010003003019,42,101,000300,3019,39.955015,-75.1642969
421010269001006,42,101,026900,1006,40.0520643,-75.1273939
421010016002001,42,101,001600,2001,39.9410539,-75.1454627
421010119005001,42,101,011900,5001,39.9894332886,-75.2290420532
421010006001008,42,101,000600,1008,39.950036,-75.162158
421010293001010,42,101,029300,1010,40.0149445,-75.0903154
421010010024016,42,101,001002,4016,39.9418766,-75.1451988
421010372004008,42,101,037200,4008,39.9150107,-75.1585852
421010008062001,42,101,000806,2001,39.949485,-75.1673521
421019803003003,42,101,980300,3003,40.0740089,-75.0131956
421010200002003,42,101,020000,2003,40.0054237,-75.1507198
421010004013002,42,101,000401,3002,39.9535919923,-75.1794226902
421010121002000,42,101,012100,2000,40.0027825,-75.2222705
421010007021003,42,101,000702,1003,39.9511109,-75.1738185
421010009022007,42,101,000902,2007,39.947207,-75.1572515
421010016001009,42,101,001600,1009,39.9408715785,-75.1510468125
421019803003015,42,101,980300,3015,40.08178,-75.0267907
421010140001018,42,101,014000,1018,39.9719414,-75.159771
421010017002000,42,101,001700,2000,39.9390124,-75.1496014
421010376002018,42,101,037600,2018,39.960811,-75.1573883
421010007013006,42,101,000701,3006,39.9502871584,-75.1666990731
421010376003017,42,101,037600,3017,39.958422,-75.158257
421010090003000,42,101,009000,3000,39.95604,-75.187797
421010291003003,42,101,029100,3003,40.031578,-75.104787
421010010013001,42,101,001001,3001,39.948321,-75.151952
420912055031013,42,091,205503,1013,39.982542,-75.268542
421010006001000,42,101,000600,1000,39.9499183,-75.1600036
421010008032006,42,101,000803,2006,39.948365,-75.1744997
421010363011005,42,101,036301,1005,40.0884161,-74.9650112
421010016002001,42,101,001600,2001,39.9403745,-75.1456109
421019809015007,42,101,980901,5007,39.912338414,-75.2230943868
421010007022003,42,101,000702,2003,39.9515211,-75.1798731
421010042014014,42,101,004201,4014,39.9223225281,-75.1527823
421010008051000,42,101,000805,1000,39.9497725,-75.1693442
421010286001009,42,101,028600,1009,40.0311008,-75.1241902
421010006001007,42,101,000600,1007,39.949195,-75.1629437
421010028023007,42,101,002802,3007,39.9315261618,-75.1607671842
421010078003000,42,101,007800,3000,39.94796,-75.22198
421010212001006,42,101,021200,1006,40.035169,-75.216409
421010004032004,42,101,000403,2004,39.9514625,-75.1662577
421010004012000,42,101,000401,2000,39.953291,-75.173645
421010382002012,42,101,038200,2012,39.988107,-75.105553
421010007013009,42,101,000701,3009,39.949603,-75.1649701595
421010264003021,42,101,026400,3021,40.0609699,-75.1674125
421010274012003,42,101,027401,2003,40.03825,-75.12988
421010001025005,42,101,000102,5005,39.9535003,-75.1450636
421010041014011,42,101,004101,4011,39.9208234,-75.1600292
421010348032000,42,101,034803,2000,40.0679151372,-75.007130852
421010133001013,42,101,013300,1013,39.9686973,-75.1606146
421010025004002,42,101,002500,4002,39.9350642,-75.1516194
421010369022003,42,101,036902,2003,39.9510885597,-75.1989988336
421010009011000,42,101,000901,1000,39.9487514826,-75.1604487143
421010011013004,42,101,001101,3004,39.944743,-75.160428
421010213001001,42,101,021300,1001,40.0357941,-75.218028
421010007013002,42,101,000701,3002,39.9511539,-75.1673349
421010158004008,42,101,015800,4008,39.9691898,-75.1340384
421010007013008,42,101,000701,3008,39.949988,-75.167496
421010207012005,42,101,020701,2005,40.0120136,-75.1890675
421010002001009,42,101,000200,1009,39.955454,-75.1549
420912025002011,42,091,202500,2011,40.074181,-75.155105
421010212001006,42,101,021200,1006,40.0352350987,-75.2167929785
421010025004002,42,101,002500,4002,39.9350642,-75.1516194
421010006001011,42,101,000600,1011,39.9494082,-75.1618172
421010180022005,42,101,018002,2005,39.9822933,-75.1031599
421010214005003,42,101,021400,5003,40.025842293,-75.2243893677
421010029001011,42,101,002900,1011,39.927488,-75.16651
421010012043010,42,101,001204,3010,39.9441744,-75.1682302
421010307001002,42,101,030700,1002,40.0603863,-75.0845897
421010005001002,42,101,000500,1002,39.9541791,-75.1624335
421010005004006,42,101,000500,4006,39.9533224742,-75.1590000821
421010016001005,42,101,001600,1005,39.9415201345,-75.1509702725
421010030021007,42,101,003002,1007,39.931855,-75.168473
421010087013009,42,101,008701,3009,39.9539236,-75.2096903
421010376001007,42,101,037600,1007,39.962145,-75.1542303
421010385001010,42,101,038500,1010,40.0771492176,-75.2087070076
421010007013005,42,101,000701,3005,39.9502330538,-75.1651874081
421010125014002,42,101,012501,4002,39.9586547234,-75.1648368694
421010009021000,42,101,000902,1000,39.9478525,-75.1535819
421010005003008,42,101,000500,3008,39.9498279,-75.152458
421010088022005,42,101,008802,2005,39.9551144,-75.202451
421010329001009,42,101,032900,1009,40.0351293,-75.030471
421010161001018,42,101,016100,1018,39.9813471541,-75.1322471288
421010004012002,42,101,000401,2002,39.9522390142,-75.1741042801
421019804001000,42,101,980400,1000,39.8773236045,-75.2436721818
421010142021013,42,101,014202,1013,39.9667910353,-75.1400172338
421010008011000,42,101,000801,1000,39.9508588,-75.1774844
421010379004006,42,101,037900,4006,39.983319,-75.101136
421010307001002,42,101,030700,1002,40.0598291191,-75.0854658697
421010004012001,42,101,000401,2001,39.9530467,-75.1750241
421010012041005,42,101,001204,1005,39.9473144,-75.1687372
421010005003000,42,101,000500,3000,39.9509381035,-75.1530942222
421010078005001,42,101,007800,5001,39.9486639126,-75.2158315415
421010379003007,42,101,037900,3007,39.9963086,-75.0901285
421010003003009,42,101,000300,3009,39.9556241,-75.1647529
421010012042011,42,101,001204,2011,39.944496,-75.171297
421010001014001,42,101,000101,4001,39.9513061231,-75.1453275767
421010005002000,42,101,000500,2000,39.952335,-75.163789
421010009022007,42,101,000902,2007,39.9468097,-75.1575251
421010005003004,42,101,000500,3004,39.9516263,-75.1590404
421010282003010,42,101,028200,3010,40.0390528,-75.1438169
421010008032003,42,101,000803,2003,39.9496329,-75.1746263
421010012031007,42,101,001203,1007,39.9455687,-75.1717901
421010348032010,42,101,034803,2010,40.063397,-75.006397
421010255003006,42,101,025500,3006,40.0600047,-75.1907117
421010144003034,42,101,014400,3034,39.9695627,-75.1388013
421010007011001,42,101,000701,1001,39.951157,-75.170714
421010027021007,42,101,002702,1007,39.925352,-75.15078
421010207012003,42,101,020701,2003,40.0128847,-75.1901845
421010363011009,42,101,036301,1009,40.091209,-74.968006
421010018001002,42,101,001800,1002,39.940221217,-75.1557966694
421010015001010,42,101,001500,1010,39.9415109,-75.1525395
421010216002000,42,101,021600,2000,40.0446405,-75.2467667
421019806001005,42,101,980600,1005,39.9057900395,-75.1663008124
421010141002006,42,101,014100,2006,39.971145,-75.15902
421010002003007,42,101,000200,3007,39.9565069284,-75.1623848453
421010080001004,42,101,008000,1004,39.9516457,-75.2263698
421010088011011,42,101,008801,1011,39.9512903,-75.1992768
421010017001007,42,101,001700,1007,39.9378287,-75.1482632
421010121002000,42,101,012100,2000,40.0031369,-75.2213329
421010028022001,42,101,002802,2001,39.929738,-75.1633963
421010025004002,42,101,002500,4002,39.9350642,-75.1516194
421010384001013,42,101,038400,1013,40.0626011,-75.2372078
421010285001005,42,101,028500,1005,40.029648,-75.1322934
421010007013009,42,101,000701,3009,39.949601,-75.164593
421010077001004,42,101,007700,1004,39.948116,-75.208422
421010019003004,42,101,001900,3004,39.9394402,-75.1668049
421019803003003,42,101,980300,3003,40.0938306616,-75.0149545558
421010085001003,42,101,008500,1003,39.9584186,-75.2246542
421010008032006,42,101,000803,2006,39.9483749,-75.1744886
421010001012004,42,101,000101,2004,39.9498192516,-75.1486551501
421010006001000,42,101,000600,1000,39.9500812,-75.1593054
421010288001027,42,101,028800,1027,40.02202,-75.1240606
421010016001015,42,101,001600,1015,39.940311,-75.15099
421010091002012,42,101,009100,2012,39.9584222,-75.1938661
421010137022018,42,101,013702,2018,39.9741307,-75.1815903
421010007021004,42,101,000702,1004,39.9511237,-75.1755163
421010366001025,42,101,036600,1025,39.9304866315,-75.1450844921
421010001011001,42,101,000101,1001,39.950968,-75.150328
421010004041001,42,101,000404,1001,39.9528337,-75.1703455
421010006002001,42,101,000600,2001,39.9496879547,-75.1551404166
421010038004000,42,101,003800,4000,39.9181628466,-75.1868784428
421010257002007,42,101,025700,2007,40.0690412,-75.19879
421010024003012,42,101,002400,3012,39.9378963,-75.1579013
420171001021025,42,017,100102,1025,40.0790741,-74.9312205
421019800032003,42,101,980003,2003,39.9557501,-75.1819889
421010016001009,42,101,001600,1009,39.9408776,-75.1511064
421010378005009,42,101,037800,5009,39.9862724,-75.094699
421010091002011,42,101,009100,2011,39.9567105161,-75.1971027811
421010331011020,42,101,033101,1020,40.038457,-75.0370017
421010002001009,42,101,000200,1009,39.9554945,-75.1552563
421010331011018,42,101,033101,1018,40.0391617,-75.0346834
421010001014015,42,101,000101,4015,39.9491236494,-75.1488953439
421010017002001,42,101,001700,2001,39.938371,-75.1501031
421010088025000,42,101,008802,5000,39.9541715545,-75.2013800841
421010282003017,42,101,028200,3017,40.0369380685,-75.1354611665
421010142021017,42,101,014202,1017,39.9664073,-75.1386733
421010141002007,42,101,014100,2007,39.9709958,-75.1581617
421010381001022,42,101,038100,1022,40.024772,-75.032997
421019803003003,42,101,980300,3003,40.0760645,-75.0168627
421010028012013,42,101,002801,2013,39.926402,-75.1575374
421010158005007,42,101,015800,5007,39.9727720933,-75.1339779021
421010012014013,42,101,001201,4013,39.9454953,-75.1789457
421010088022004,42,101,008802,2004,39.9548253,-75.2009783
421010346002003,42,101,034600,2003,40.078046,-75.0249625
421010114006004,42,101,011400,6004,39.9850064107,-75.246888042
420912103003019,42,091,210300,3019,40.0747869,-75.2445106
421010004043000,42,101,000404,3000,39.9544765361,-75.1685419632
421010158004006,42,101,015800,4006,39.9711258,-75.1340608
421010326002014,42,101,032600,2014,40.0342971,-75.0450417
421010138002023,42,101,013800,2023,39.9738754,-75.1794242
421010011013005,42,101,001101,3005,39.944935,-75.1606759
421010008052000,42,101,000805,2000,39.9495016,-75.1680817
421010263024004,42,101,026302,4004,40.0719622,-75.157311
421010090003005,42,101,009000,3005,39.9570681,-75.1916189
421010006001001,42,101,000600,1001,39.9503586,-75.1615836
421010009021008,42,101,000902,1008,39.9470772078,-75.1541655511
421010355003008,42,101,035500,3008,40.0918468,-75.0317717
421010363011004,42,101,036301,1004,40.0860776,-74.9648083509
421010091002011,42,101,009100,2011,39.9566278,-75.1968405
421010388002002,42,101,038800,2002,40.059508,-75.190838
421010001025007,42,101,000102,5007,39.9527587,-75.1453487
421010314013004,42,101,031401,3004,40.0489636,-75.0633962
421010387001029,42,101,038700,1029,40.073763,-75.202796
421010372004002,42,101,037200,4002,39.9139475,-75.1520299
421010134021001,42,101,013402,1001,39.9670683,-75.1711272
421010006001007,42,101,000600,1007,39.949279331,-75.1629582236
421010338002011,42,101,033800,2011,40.061417,-75.0833451
421010142021008,42,101,014202,1008,39.968969,-75.139531415
421010009011005,42,101,000901,1005,39.948081,-75.1608093
421010346001000,42,101,034600,1000,40.0717692,-75.0202703
421010009012009,42,101,000901,2009,39.9470772,-75.1633393
421010274013003,42,101,027401,3003,40.0342865,-75.1307075
421010372001006,42,101,037200,1006,39.91384,-75.170405
421010372003002,42,101,037200,3002,39.9160361,-75.1666909
421010013012009,42,101,001301,2009,39.9405185,-75.1870153
421010002001009,42,101,000200,1009,39.9554168697,-75.1554945434
420912036022010,42,091,203602,2010,40.1270723,-75.3353875
421010272002006,42,101,027200,2006,40.045729,-75.11891
421010178004000,42,101,017800,4000,39.992888,-75.119347
421010016001002,42,101,001600,1002,39.9411303,-75.1493963
421010180012005,42,101,018001,2005,39.982307,-75.111553
421010012031009,42,101,001203,1009,39.9456566,-75.1747733
421010007013008,42,101,000701,3008,39.9500233,-75.1675812
421010306003015,42,101,030600,3015,40.0509209,-75.094581
421010001014008,42,101,000101,4008,39.9499452,-75.146352
421010144004005,42,101,014400,4005,39.9742039,-75.1420764
421010331012018,42,101,033101,2018,40.0374692,-75.0417837
421010002001011,42,101,000200,1011,39.955075,-75.157486
421010007013003,42,101,000701,3003,39.9508011,-75.1686108
421010005004002,42,101,000500,4002,39.9528017,-75.1533475
421010017001008,42,101,001700,1008,39.9380132,-75.1481307
421010214005015,42,101,021400,5015,40.026465,-75.2244958
421010027022002,42,101,002702,2002,39.9310268,-75.1478088
421010008031000,42,101,000803,1000,39.9506566,-75.1763021
421010307003008,42,101,030700,3008,40.0549074773,-75.091064411
421010078004000,42,101,007800,4000,39.9483087,-75.2178905
421010163003001,42,101,016300,3001,39.9903372,-75.130115
421010009012003,42,101,000901,2003,39.9488519132,-75.1644102484
421010010024014,42,101,001002,4014,39.9412971,-75.1466064
421010346002004,42,101,034600,2004,40.076192,-75.031427
421010315011011,42,101,031501,1011,40.033039,-75.051068
421010125025002,42,101,012502,5002,39.9606228,-75.1700704
421010014003003,42,101,001400,3003,39.9441659,-75.1717273
421010007021000,42,101,000702,1000,39.951859,-75.173882
421010009012000,42,101,000901,2000,39.9489105,-75.1630155
421010007021000,42,101,000702,1000,39.951596,-75.1737587
421010004032001,42,101,000403,2001,39.9542012,-75.1674658
421010142012018,42,101,014201,2018,39.96651,-75.140377
421010331012015,42,101,033101,2015,40.0378039,-75.0387664
421010338002011,42,101,033800,2011,40.0618893,-75.0832513
421010008061002,42,101,000806,1002,39.947954,-75.165882
421010240002005,42,101,024000,2005,40.03022,-75.18048
421010001014011,42,101,000101,4011,39.9487213,-75.145205
421010088025002,42,101,008802,5002,39.9533306,-75.2039551
421010007013000,42,101,000701,3000,39.9504656,-75.1649353
421010072006001,42,101,007200,6001,39.9453395,-75.238934
421019809012002,42,101,980901,2002,39.8946117,-75.2292952
421010008062000,42,101,000806,2000,39.9493255,-75.1667043
421010008062001,42,101,000806,2001,39.949485,-75.1673521
421010088022005,42,101,008802,2005,39.955381,-75.202544
421010379006006,42,101,037900,6006,39.9883288,-75.0912665
421010005004006,42,101,000500,4006,39.9531943336,-75.1593846597
421010180021014,42,101,018002,1014,39.9851818,-75.1067498
421010320005001,42,101,032000,5001,40.0274889,-75.0611831
421010016001013,42,101,001600,1013,39.9402893962,-75.1496128222
421010372004002,42,101,037200,4002,39.9139475,-75.1520299
421010006001000,42,101,000600,1000,39.95,-75.16
421010311013008,42,101,031101,3008,40.0394759,-75.0778205
421010015001002,42,101,001500,1002,39.9423143,-75.1556053
421010009022007,42,101,000902,2007,39.9467949,-75.1577025
421010314012004,42,101,031401,2004,40.0428131,-75.0636357
421010028021011,42,101,002802,1011,39.927889,-75.1588589
421010007011000,42,101,000701,1000,39.9513268,-75.1702271
421010009011007,42,101,000901,1007,39.9477815,-75.162146
421019892004000,42,101,989200,4000,39.8915388376,-75.1774873862
421010213001000,42,101,021300,1000,40.0363201,-75.2184952
421010142012021,42,101,014201,2021,39.9659046,-75.1404462
421010091002008,42,101,009100,2008,39.957087816,-75.1941281726
421010310003005,42,101,031000,3005,40.0511422547,-75.0664484601
421010372004001,42,101,037200,4001,39.9130548,-75.149704
421010001025005,42,101,000102,5005,39.9537912,-75.1450637
421010353013001,42,101,035301,3001,40.0643044322,-74.9868814021
421010005002000,42,101,000500,2000,39.9525839,-75.1652215
421010133001005,42,101,013300,1005,39.969939,-75.163026
421010039021005,42,101,003902,1005,39.9209271,-75.1733058
421010031006001,42,101,003100,6001,39.9350405,-75.179381
421010278003000,42,101,027800,3000,40.0407573,-75.1448014
421010007012001,42,101,000701,2001,39.9509958568,-75.1723086834
421010382002000,42,101,038200,2000,39.9921721,-75.1009178
421010010011016,42,101,001001,1016,39.9422752,-75.1532337
421010332002014,42,101,033200,2014,40.0406177,-75.0438084
421010369026006,42,101,036902,6006,39.954815805,-75.1836068183
421010004041006,42,101,000404,1006,39.9517032,-75.169526
421010122031003,42,101,012203,1003,40.0068508604,-75.2130997181
421010002001016,42,101,000200,1016,39.9539403,-75.1563093
421010366001001,42,101,036600,1001,39.9362628,-75.1409477
421010037023005,42,101,003702,3005,39.9227051442,-75.1861358061
421010002001016,42,101,000200,1016,39.9538392,-75.1563293
421010369025001,42,101,036902,5001,39.9553865,-75.1910637
421010040012004,42,101,004001,2004,39.922527,-75.1644732
421010125025004,42,101,012502,5004,39.960322,-75.169415
421010008051006,42,101,000805,1006,39.9478453288,-75.1708737016
421010094003002,42,101,009400,3002,39.9613383,-75.2345719
421010289012006,42,101,028901,2006,40.0123759,-75.1124633
421010007013007,42,101,000701,3007,39.949949,-75.1671469
421010011021008,42,101,001102,1008,39.9446511,-75.1594061
421010027022023,42,101,002702,2023,39.92821,-75.14687
421010143002017,42,101,014300,2017,39.9693760895,-75.1322876736
421010008033004,42,101,000803,3004,39.9482333,-75.1726372
421010360003000,42,101,036000,3000,40.1026857,-75.0102491
421010001014012,42,101,000101,4012,39.9485775068,-75.1450225711
421010347014007,42,101,034701,4007,40.0571673033,-75.0304835714
421010369022001,42,101,036902,2001,39.9528663845,-75.1963560467
421010007011003,42,101,000701,1003,39.9506242,-75.1697297
421010033004003,42,101,003300,4003,39.9396758,-75.1956916
421010042014013,42,101,004201,4013,39.9229257,-75.1525267
421010001014011,42,101,000101,4011,39.948818,-75.1456539
421010004011016,42,101,000401,1016,39.9541083,-75.1746706
421010025004009,42,101,002500,4009,39.9346304,-75.1529207
421010004041002,42,101,000404,1002,39.953351,-75.172624
421010008052003,42,101,000805,2003,39.9484223,-75.1692901
421010369025004,42,101,036902,5004,39.9539284,-75.1886632
421010142021013,42,101,014202,1013,39.9665955,-75.1400594
421019809016000,42,101,980901,6000,39.8961196,-75.2345061
421010078005002,42,101,007800,5002,39.947793,-75.215701
421010210004027,42,101,021000,4027,40.018625,-75.214313
421010314023006,42,101,031402,3006,40.046887,-75.0601876
421010008062001,42,101,000806,2001,39.9491591674,-75.1671322221
421010111003000,42,101,011100,3000,39.97731,-75.226152
421010207011005,42,101,020701,1005,40.0096537,-75.1954732
421010087013002,42,101,008701,3002,39.9567155,-75.2100343
421010014003008,42,101,001400,3008,39.9422651,-75.1664857
421010334004013,42,101,033400,4013,40.0469933,-75.0557677
421010001014011,42,101,000101,4011,39.948818,-75.1456539
421010138002030,42,101,013800,2030,39.9727751034,-75.1789870874
421010009011001,42,101,000901,1001,39.948711,-75.160977
421010013024000,42,101,001302,4000,39.945047,-75.1803019
421010028021011,42,101,002802,1011,39.9280696,-75.1602342
421010008033001,42,101,000803,3001,39.9483905,-75.172621
421010001023006,42,101,000102,3006,39.9532548,-75.14479
421010313002002,42,101,031300,2002,40.0400368,-75.0662936
421010160025007,42,101,016002,5007,39.9793657,-75.1253492
421010010024017,42,101,001002,4017,39.942175,-75.145318
421010014002002,42,101,001400,2002,39.9438788,-75.1754597
421010010021005,42,101,001002,1005,39.946233,-75.1455404
421010307001003,42,101,030700,1003,40.0582111,-75.0868253
421010008052000,42,101,000805,2000,39.949567,-75.1689823
421010356022001,42,101,035602,2001,40.1086514,-75.0493872
421010009022009,42,101,000902,2009,39.9463322,-75.1579478
421010367002007,42,101,036700,2007,39.9644541,-75.145782
421010019002018,42,101,001900,2018,39.9391627,-75.1749215
421010158004003,42,101,015800,4003,39.9697462,-75.1324987
421010001014009,42,101,000101,4009,39.9501019,-75.1451657
421019803003003,42,101,980300,3003,40.0757554,-75.0181251
421010001014013,42,101,000101,4013,39.9495951,-75.1439716
421010379006009,42,101,037900,6009,39.988373,-75.094483
421010027022022,42,101,002702,2022,39.9299319,-75.1465054
421010331022007,42,101,033102,2007,40.04186,-75.0275663
421019800012008,42,101,980001,2008,39.9644505,-75.1765753
421010011011000,42,101,001101,1000,39.9466853,-75.1639951
421010038004000,42,101,003800,4000,39.9178706,-75.1869588
421010003004018,42,101,000300,4018,39.955701,-75.169712
421010004041008,42,101,000404,1008,39.9521293084,-75.1730516553
421010027022007,42,101,002702,2007,39.9315335419,-75.1496175304
421019803003000,42,101,980300,3000,40.0938457,-74.9908285
421010141002005,42,101,014100,2005,39.9720955382,-75.1588091254
421010098012000,42,101,009801,2000,39.979683,-75.2697307
421010144004007,42,101,014400,4007,39.9737458,-75.1405645
421010207011014,42,101,020701,1014,40.0078746,-75.1924072
421010241001001,42,101,024100,1001,40.0339833,-75.1773153
421010008062001,42,101,000806,2001,39.949485,-75.1673521
421010007012000,42,101,000701,2000,39.9517967,-75.1722608
421010024004010,42,101,002400,4010,39.935497,-75.156055
421010334002000,42,101,033400,2000,40.0575027,-75.0525701
421010001014001,42,101,000101,4001,39.951923,-75.144335
421010348012010,42,101,034801,2010,40.0573352,-75.014859
421010003003009,42,101,000300,3009,39.9556241,-75.1647529
421010009012005,42,101,000901,2005,39.9479028004,-75.1640327275
421010005004006,42,101,000500,4006,39.9531593,-75.1590984
421010007021004,42,101,000702,1004,39.9507146,-75.174364
421010039013013,42,101,003901,3013,39.9210221,-75.1744313
421010029001001,42,101,002900,1001,39.9298675,-75.1650721
421010321003011,42,101,032100,3011,40.0169758,-75.0610576
421010004041004,42,101,000404,1004,39.9522486027,-75.1716919961
421010088011005,42,101,008801,1005,39.9549777255,-75.199922158
421010369026015,42,101,036902,6015,39.952126,-75.186438
421010079002008,42,101,007900,2008,39.9487824,-75.2174317
421010006001009,42,101,000600,1009,39.9489334,-75.1595088
