tract,year,Close-down,New open,is_cbd,post_covid,DID,ln(New open),ln(Close-down)
101,2012,14,26,1,0,0,3.258096538021482,2.6390573296152584
102,2012,1,6,1,0,0,1.791759469228055,0.0
200,2012,7,15,1,0,0,2.70805020110221,1.9459101490553132
300,2012,2,8,1,0,0,2.0794415416798357,0.6931471805599453
401,2012,3,7,1,0,0,1.9459101490553132,1.0986122886681098
403,2012,3,10,1,0,0,2.302585092994046,1.0986122886681098
404,2012,3,14,1,0,0,2.6390573296152584,1.0986122886681098
500,2012,9,20,1,0,0,2.995732273553991,2.1972245773362196
600,2012,7,16,1,0,0,2.772588722239781,1.9459101490553132
701,2012,8,20,1,0,0,2.995732273553991,2.0794415416798357
702,2012,2,5,1,0,0,1.6094379124341003,0.6931471805599453
801,2012,1,2,1,0,0,0.6931471805599453,0.0
803,2012,0,8,1,0,0,2.0794415416798357,-inf
805,2012,2,7,1,0,0,1.9459101490553132,0.6931471805599453
806,2012,3,12,1,0,0,2.4849066497880004,1.0986122886681098
901,2012,7,5,1,0,0,1.6094379124341003,1.9459101490553132
902,2012,2,2,1,0,0,0.6931471805599453,0.6931471805599453
1001,2012,0,9,1,0,0,2.1972245773362196,-inf
1002,2012,7,11,1,0,0,2.3978952727983707,1.9459101490553132
1101,2012,0,6,1,0,0,1.791759469228055,-inf
1102,2012,3,3,1,0,0,1.0986122886681098,1.0986122886681098
1201,2012,1,5,1,0,0,1.6094379124341003,0.0
1203,2012,1,0,1,0,0,-inf,0.0
1204,2012,3,5,1,0,0,1.6094379124341003,1.0986122886681098
1301,2012,0,2,1,0,0,0.6931471805599453,-inf
1302,2012,3,4,1,0,0,1.3862943611198906,1.0986122886681098
1400,2012,4,3,1,0,0,1.0986122886681098,1.3862943611198906
1500,2012,2,8,1,0,0,2.0794415416798357,0.6931471805599453
1600,2012,5,11,1,0,0,2.3978952727983707,1.6094379124341003
1700,2012,3,2,1,0,0,0.6931471805599453,1.0986122886681098
1800,2012,0,2,1,0,0,0.6931471805599453,-inf
1900,2012,0,0,1,0,0,-inf,-inf
2000,2012,0,0,0,0,0,-inf,-inf
2100,2012,0,3,1,0,0,1.0986122886681098,-inf
2200,2012,0,2,1,0,0,0.6931471805599453,-inf
2300,2012,2,0,1,0,0,-inf,0.6931471805599453
2400,2012,4,11,1,0,0,2.3978952727983707,1.3862943611198906
2500,2012,1,2,1,0,0,0.6931471805599453,0.0
2701,2012,0,1,0,0,0,0.0,-inf
2702,2012,2,0,0,0,0,-inf,0.6931471805599453
2801,2012,1,1,0,0,0,0.0,0.0
2802,2012,5,1,0,0,0,0.0,1.6094379124341003
2900,2012,2,5,0,0,0,1.6094379124341003,0.6931471805599453
3001,2012,0,1,0,0,0,0.0,-inf
3002,2012,0,1,0,0,0,0.0,-inf
3100,2012,2,0,0,0,0,-inf,0.6931471805599453
3200,2012,0,0,0,0,0,-inf,-inf
3300,2012,1,0,0,0,0,-inf,0.0
3600,2012,1,0,0,0,0,-inf,0.0
3701,2012,1,2,0,0,0,0.6931471805599453,0.0
3702,2012,1,1,0,0,0,0.0,0.0
3800,2012,0,2,0,0,0,0.6931471805599453,-inf
3901,2012,0,7,0,0,0,1.9459101490553132,-inf
3902,2012,1,3,0,0,0,1.0986122886681098,0.0
4001,2012,1,2,0,0,0,0.6931471805599453,0.0
4002,2012,2,2,0,0,0,0.6931471805599453,0.6931471805599453
4101,2012,2,1,0,0,0,0.0,0.6931471805599453
4103,2012,0,0,0,0,0,-inf,-inf
4104,2012,0,1,0,0,0,0.0,-inf
4201,2012,0,0,0,0,0,-inf,-inf
4202,2012,0,0,0,0,0,-inf,-inf
5400,2012,0,0,0,0,0,-inf,-inf
5500,2012,0,0,0,0,0,-inf,-inf
5600,2012,1,0,0,0,0,-inf,0.0
6000,2012,1,2,0,0,0,0.6931471805599453,0.0
6200,2012,2,0,0,0,0,-inf,0.6931471805599453
6300,2012,0,0,0,0,0,-inf,-inf
6600,2012,2,1,0,0,0,0.0,0.6931471805599453
6700,2012,0,1,0,0,0,0.0,-inf
7000,2012,0,1,0,0,0,0.0,-inf
7101,2012,0,0,0,0,0,-inf,-inf
7200,2012,0,0,0,0,0,-inf,-inf
7300,2012,0,1,0,0,0,0.0,-inf
7400,2012,1,1,0,0,0,0.0,0.0
7700,2012,0,1,0,0,0,0.0,-inf
7800,2012,1,2,0,0,0,0.6931471805599453,0.0
7900,2012,1,1,0,0,0,0.0,0.0
8000,2012,0,3,0,0,0,1.0986122886681098,-inf
8101,2012,0,0,0,0,0,-inf,-inf
8102,2012,0,0,0,0,0,-inf,-inf
8200,2012,0,0,0,0,0,-inf,-inf
8302,2012,1,0,0,0,0,-inf,0.0
8400,2012,0,0,0,0,0,-inf,-inf
8500,2012,0,0,0,0,0,-inf,-inf
8601,2012,1,4,0,0,0,1.3862943611198906,0.0
8602,2012,0,1,0,0,0,0.0,-inf
8701,2012,2,5,0,0,0,1.6094379124341003,0.6931471805599453
8702,2012,1,1,0,0,0,0.0,0.0
8801,2012,1,2,0,0,0,0.6931471805599453,0.0
8802,2012,6,4,0,0,0,1.3862943611198906,1.791759469228055
9000,2012,0,6,0,0,0,1.791759469228055,-inf
