tract,year,base,block,index,Close-down,New open,close_rate_x,open_rate_x,is_cbd,post_covid,DID,ln(New open),ln(Close-down),census_track,tr_x,yr,population,TRACTCE10,SHAPE_AREA,tr_y,pop,area,density,post covid * density,density_rank,density_group,inflows,inflow_rate_x,inflow_rate_y,inflow_rate_d,open_rate_y,open_rate_d,close_rate_y,close_rate_d,inflows_pop,open_pop,close_pop,cbd,high_density
200,2013,62.0,62.0,2,15,31,0.24193548387096775,0.5,1,0,0,3.4339872044851463,2.70805020110221,2.0,2.0,2013.0,2215.0,000200,4116628.18507,2.0,2215.0,4.11662818507,0.0005380617098316679,0.0,0.38099747474747475,low_density,16,0.25806451612903225,0.12903225806451613,0.12903225806451613,0.5483870967741935,-0.048387096774193505,0.41935483870967744,-0.1774193548387097,0.007223476297968397,0.01399548532731377,0.006772009029345372,CBD,0
300,2013,36.0,36.0,3,12,20,0.3333333333333333,0.5555555555555556,1,0,0,2.995732273553991,2.4849066497880004,3.0,3.0,2013.0,3398.0,000300,5887110.24019,3.0,3398.0,5.88711024019,0.0005771932002907989,0.0,0.42045454545454547,low_density,8,0.2222222222222222,0.1388888888888889,0.08333333333333331,0.5555555555555556,0.0,0.4166666666666667,-0.08333333333333337,0.002354326074161271,0.005885815185403178,0.003531489111241907,CBD,0
401,2013,31.0,31.0,4,4,10,0.12903225806451613,0.3225806451612903,1,0,0,2.302585092994046,1.3862943611198906,4.01,4.01,2013.0,2458.0,000401,2513118.53678,4.01,2458.0,2.5131185367800004,0.0009780676733017846,0.0,0.7960858585858586,mid_density,6,0.1935483870967742,-0.1935483870967742,0.3870967741935484,0.2903225806451613,0.032258064516129004,0.4838709677419355,-0.3548387096774194,0.0024410089503661514,0.0040683482506102524,0.0016273393002441008,CBD,0
500,2013,101.0,101.0,7,26,34,0.25742574257425743,0.33663366336633666,1,0,0,3.5263605246161616,3.258096538021482,5.0,5.0,2013.0,2267.0,000500,4615443.89842,5.0,2267.0,4.615443898420001,0.000491177024332602,0.0,0.3279671717171717,low_density,8,0.07920792079207921,0.1782178217821782,-0.099009900990099,0.5148514851485149,-0.1782178217821782,0.33663366336633666,-0.07920792079207922,0.0035288928098809,0.014997794441993825,0.011468901632112925,CBD,0
600,2013,80.0,80.0,8,24,37,0.3,0.4625,1,0,0,3.6109179126442243,3.1780538303479458,6.0,6.0,2013.0,1534.0,000600,1858607.39949,6.0,1534.0,1.85860739949,0.0008253491299028122,0.0,0.6710858585858586,mid_density,13,0.1625,-0.075,0.2375,0.4125,0.050000000000000044,0.4875,-0.1875,0.00847457627118644,0.024119947848761408,0.01564537157757497,CBD,0
801,2013,16.0,16.0,11,2,2,0.125,0.125,1,0,0,0.6931471805599453,0.6931471805599453,8.01,8.01,2013.0,1729.0,000801,1236167.55109,8.01,1729.0,1.2361675510899999,0.0013986777103762685,0.0,0.9466540404040404,high_density,0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0,0.001156737998843262,0.001156737998843262,CBD,1
803,2013,28.0,28.0,12,5,15,0.17857142857142858,0.5357142857142857,1,0,0,2.70805020110221,1.6094379124341003,8.03,8.03,2013.0,3556.0,000803,1644990.70784,8.03,3556.0,1.6449907078400001,0.002161714338599093,0.0,0.9990530303030303,high_density,10,0.35714285714285715,-0.25,0.6071428571428572,0.35714285714285715,0.17857142857142855,0.6071428571428571,-0.4285714285714285,0.00281214848143982,0.00421822272215973,0.00140607424071991,CBD,1
901,2013,45.0,45.0,15,7,13,0.15555555555555556,0.28888888888888886,1,0,0,2.5649493574615367,1.9459101490553132,9.01,9.01,2013.0,1976.0,000901,1135601.27593,9.01,1976.0,1.13560127593,0.0017400473580674307,0.0,0.9865845959595959,high_density,6,0.13333333333333333,-0.17777777777777778,0.3111111111111111,0.28888888888888886,0.0,0.4666666666666667,-0.3111111111111111,0.003036437246963563,0.006578947368421052,0.00354251012145749,CBD,1
902,2013,26.0,26.0,16,6,17,0.23076923076923078,0.6538461538461539,1,0,0,2.833213344056216,1.791759469228055,9.02,9.02,2013.0,2457.0,000902,1669891.97733,9.02,2457.0,1.6698919773299998,0.001471352658348902,0.0,0.9608585858585859,high_density,11,0.4230769230769231,-0.15384615384615385,0.5769230769230769,0.38461538461538464,0.2692307692307692,0.5384615384615384,-0.30769230769230765,0.004477004477004477,0.006919006919006919,0.002442002442002442,CBD,1
1001,2013,22.0,22.0,17,7,7,0.3181818181818182,0.3181818181818182,1,0,0,1.9459101490553132,1.9459101490553132,10.01,10.01,2013.0,2594.0,001001,2469367.58187,10.01,2594.0,2.46936758187,0.0010504713915599469,0.0,0.8377525252525253,mid_density,0,0.0,0.0,0.0,0.2727272727272727,0.04545454545454547,0.2727272727272727,0.04545454545454547,0.0,0.0026985350809560524,0.0026985350809560524,CBD,0
1002,2013,41.0,41.0,18,16,25,0.3902439024390244,0.6097560975609756,1,0,0,3.2188758248682006,2.772588722239781,10.02,10.02,2013.0,3450.0,001002,5076688.08284,10.02,3450.0,5.0766880828400005,0.0006795769099270723,0.0,0.545770202020202,mid_density,9,0.21951219512195122,0.12195121951219512,0.0975609756097561,0.4878048780487805,0.12195121951219512,0.36585365853658536,0.024390243902439046,0.0026086956521739132,0.007246376811594203,0.00463768115942029,CBD,0
1101,2013,17.0,17.0,19,6,9,0.35294117647058826,0.5294117647058824,1,0,0,2.1972245773362196,1.791759469228055,11.01,11.01,2013.0,3336.0,001101,1872867.63651,11.01,3336.0,1.87286763651,0.0017812257177001987,0.0,0.9886363636363636,high_density,3,0.17647058823529413,0.17647058823529413,0.0,0.7647058823529411,-0.23529411764705876,0.5882352941176471,-0.23529411764705882,0.0008992805755395684,0.002697841726618705,0.0017985611510791368,CBD,1
1102,2013,19.0,19.0,20,3,7,0.15789473684210525,0.3684210526315789,1,0,0,1.9459101490553132,1.0986122886681098,11.02,11.02,2013.0,2540.0,001102,2196706.76919,11.02,2540.0,2.19670676919,0.0011562763112605075,0.0,0.8873106060606061,mid_density,4,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.0015748031496062992,0.0027559055118110236,0.0011811023622047244,CBD,0
1201,2013,15.0,15.0,21,2,4,0.13333333333333333,0.26666666666666666,1,0,0,1.3862943611198906,0.6931471805599453,12.01,12.01,2013.0,3842.0,001201,3753325.87661,12.01,3842.0,3.75332587661,0.0010236254794561272,0.0,0.82260101010101,mid_density,2,0.13333333333333333,-0.26666666666666666,0.4,0.3333333333333333,-0.06666666666666665,0.6,-0.4666666666666667,0.0005205622071837585,0.001041124414367517,0.0005205622071837585,CBD,0
